last_name,first_name,email,teacher_code,faculty,department,address,phone,note
Vo Ngoc,Hai,Eric_Hayden@hcmut.edu.vn,1940000,Web development,FME,Cau Giay Ha Noi Viet Nam,523-253-6928,
Le Huu,Tham,Julia_Brown@hcmut.edu.vn,1940001,Data engineer,CSE,Cau Giay Ha Noi Viet Nam,163-882-9418,
Nguyen Duc,Tham,Amy_Lopez@hcmut.edu.vn,1940002,UI-UX,SIM,Cau Giay Ha Noi Viet Nam,744-361-6297,
Vo Que,Quy,Jennifer_George@hcmut.edu.vn,1940003,System engineer,D-DT,Cau Giay Ha Noi Viet Nam,811-203-9987,
Le Huu,Hai,Javier_Hubbard@hcmut.edu.vn,1940004,Game development,SIM,Cau Giay Ha Noi Viet Nam,860-020-6397,
Vu Van,Son,Alyssa_Cain@hcmut.edu.vn,1940005,Game development,FME,Cau Giay Ha Noi Viet Nam,541-285-0122,
Bui Quang,Quy,Ashley_Jacobs@hcmut.edu.vn,1940006,Embedded c++,GEOPET,Cau Giay Ha Noi Viet Nam,450-847-0039,
Bui Quang,Hau,Robert_Mckenzie@hcmut.edu.vn,1940007,UI-UX,GEOPET,Cau Giay Ha Noi Viet Nam,386-723-6850,
Dao Van,Linh,Andrew_Miller@hcmut.edu.vn,1940008,Data engineer,FCE,Cau Giay Ha Noi Viet Nam,276-133-5847,
Trinh Van,Thien,Jesse_Farmer@hcmut.edu.vn,1940009,Data engineer,FTE,Cau Giay Ha Noi Viet Nam,678-027-2131,
Bui Quang,Ngoc,Stephanie_Cobb@hcmut.edu.vn,1940010,UI-UX,SIM,Cau Giay Ha Noi Viet Nam,599-064-7011,
Vo Ngoc,Tham,Timothy_Rodriguez@hcmut.edu.vn,1940011,Embedded c++,FME,Cau Giay Ha Noi Viet Nam,549-861-2391,
Le Huu,Thanh,Jared_Webb@hcmut.edu.vn,1940012,UI-UX,CHE,Cau Giay Ha Noi Viet Nam,954-048-8843,
Tran Van,Hao,Jeffrey_Watson@hcmut.edu.vn,1940013,Web development,CSE,Cau Giay Ha Noi Viet Nam,720-326-5132,
Nguyen Duc,Son,Sara_Nguyen@hcmut.edu.vn,1940014,Data engineer,GEOPET,Cau Giay Ha Noi Viet Nam,260-274-0846,
Nguyen Duc,Huy,Joseph_Burnett@hcmut.edu.vn,1940015,UI-UX,SIM,Cau Giay Ha Noi Viet Nam,472-765-1221,
Le Huu,Duy,Jeremy_Brown@hcmut.edu.vn,1940016,Embedded c++,CSE,Cau Giay Ha Noi Viet Nam,277-445-4057,
Bui Quang,Tham,Sherri_Carter@hcmut.edu.vn,1940017,Data engineer,GEOPET,Cau Giay Ha Noi Viet Nam,569-786-8711,
Tran Van,Hai,Troy_Williams@hcmut.edu.vn,1940018,UI-UX,CSE,Cau Giay Ha Noi Viet Nam,659-342-2984,
Dao Van,Thanh,Linda_Moore@hcmut.edu.vn,1940019,Web development,CHE,Cau Giay Ha Noi Viet Nam,755-283-5888,
Bui Quang,Tham,Courtney_Wade@hcmut.edu.vn,1940020,Game development,FCE,Cau Giay Ha Noi Viet Nam,204-874-0034,
Bui Quang,Hao,Dr._Lori_Brown@hcmut.edu.vn,1940021,Embedded c++,SIM,Cau Giay Ha Noi Viet Nam,709-783-6259,
Trinh Van,Hai,Jessica_Hopkins@hcmut.edu.vn,1940022,Data engineer,FTE,Cau Giay Ha Noi Viet Nam,698-472-6312,
Trinh Van,Tham,Melissa_Perry@hcmut.edu.vn,1940023,Embedded c++,FME,Cau Giay Ha Noi Viet Nam,424-803-0711,
Dao Van,Thanh,Joseph_Patel@hcmut.edu.vn,1940024,System engineer,CSE,Cau Giay Ha Noi Viet Nam,413-270-5721,
Bui Quang,Thien,Ashley_Brooks@hcmut.edu.vn,1940025,Data engineer,FTE,Cau Giay Ha Noi Viet Nam,962-637-5182,
Bui Quang,Thanh,Amy_Erickson@hcmut.edu.vn,1940026,Embedded c++,CSE,Cau Giay Ha Noi Viet Nam,345-120-7562,
Vo Ngoc,Son,Jesse_Davis@hcmut.edu.vn,1940027,UI-UX,D-DT,Cau Giay Ha Noi Viet Nam,607-466-9697,
Trinh Van,Thien,Jessica_Sanchez@hcmut.edu.vn,1940028,System engineer,FTE,Cau Giay Ha Noi Viet Nam,499-126-0549,
Tran Van,Quy,Joyce_Nichols_DVM@hcmut.edu.vn,1940029,Embedded c++,D-DT,Cau Giay Ha Noi Viet Nam,756-028-5148,
Le Huu,Hai,Christopher_Harding@hcmut.edu.vn,1940030,System engineer,CHE,Cau Giay Ha Noi Viet Nam,477-643-7604,
Dao Dinh,Thanh,Ashley_Tran@hcmut.edu.vn,1940031,UI-UX,CHE,Cau Giay Ha Noi Viet Nam,827-044-8398,
Dao Dinh,Thien,Dustin_Odonnell@hcmut.edu.vn,1940032,UI-UX,FME,Cau Giay Ha Noi Viet Nam,775-170-6241,
Tran Van,Quy,Krystal_Jackson@hcmut.edu.vn,1940033,Game development,CHE,Cau Giay Ha Noi Viet Nam,994-551-4977,
Duong,Duy,Melanie_Mays@hcmut.edu.vn,1940034,Game development,FTE,Cau Giay Ha Noi Viet Nam,708-008-4352,
Dao Dinh,Hau,Carl_Peterson@hcmut.edu.vn,1940035,Web development,D-DT,Cau Giay Ha Noi Viet Nam,697-816-2900,
Vo Que,Quy,Christina_Douglas@hcmut.edu.vn,1940036,Embedded c++,FTE,Cau Giay Ha Noi Viet Nam,205-478-0491,
Dao Dinh,Hao,Roberta_Williams@hcmut.edu.vn,1940037,Embedded c++,FTE,Cau Giay Ha Noi Viet Nam,758-575-0819,
Dao Dinh,Hau,Christina_Rush@hcmut.edu.vn,1940038,Web development,FTE,Cau Giay Ha Noi Viet Nam,612-130-4771,
Tran Van,Thien,Crystal_Armstrong@hcmut.edu.vn,1940039,Game development,FCE,Cau Giay Ha Noi Viet Nam,194-167-8647,
Le Huu,Thang,Candice_Thornton@hcmut.edu.vn,1940040,System engineer,FCE,Cau Giay Ha Noi Viet Nam,888-568-9658,
Duong,Quy,Sarah_Henderson@hcmut.edu.vn,1940041,Data engineer,CHE,Cau Giay Ha Noi Viet Nam,991-087-1290,
Dao Van,Thien,Michelle_Mejia@hcmut.edu.vn,1940042,Game development,FME,Cau Giay Ha Noi Viet Nam,399-636-5890,
Trinh Van,Hau,Joseph_Goodwin@hcmut.edu.vn,1940043,System engineer,FTE,Cau Giay Ha Noi Viet Nam,524-085-3701,
Vo Ngoc,Thang,Timothy_Beasley@hcmut.edu.vn,1940044,Game development,CSE,Cau Giay Ha Noi Viet Nam,472-864-8759,
Vu Van,Hao,Kara_Lee@hcmut.edu.vn,1940045,Web development,CHE,Cau Giay Ha Noi Viet Nam,412-230-1674,
